student_id,program_id,module_id,enrolment_date
S0001,P001,P001_01,2024/02/01
S0002,P001,P001_02,2023/12/29
S0003,P001,P001_03,2022/08/03
S0004,P001,P001_04,2022/05/14
S0005,P001,P001_05,2021/12/06
S0006,P002,P002_01,2023/05/03
S0007,P002,P002_02,2021/02/25
S0008,P002,P002_03,2021/04/25
S0009,P002,P002_04,2023/10/06
S0010,P002,P002_05,2020/06/29
S0011,P003,P003_01,2018/07/13
S0012,P003,P003_02,2022/03/20
S0013,P003,P003_03,2023/06/29
S0014,P003,P003_04,2023/08/29
S0015,P003,P003_05,2022/07/19
S0016,P004,P004_01,2019/02/23
S0017,P004,P004_02,2020/08/17
S0018,P004,P004_03,2020/10/05
S0019,P004,P004_04,2018/12/06
S0020,P004,P004_05,2022/08/16
S0021,P004,P004_06,2023/02/19
S0022,P004,P004_07,2020/02/08
S0023,P005,P005_01,2024/03/09
S0024,P005,P005_02,2022/07/29
S0025,P005,P005_03,2021/01/18
S0026,P005,P005_04,2019/07/08
S0027,P005,P005_05,2024/04/16
S0028,P005,P005_06,2022/09/02
S0029,P005,P005_07,2021/02/18
S0030,P006,P006_01,2019/03/10
S0031,P006,P006_02,2022/02/20
S0032,P006,P006_03,2018/07/31
S0033,P006,P006_04,2018/10/02
S0034,P006,P006_05,2024/02/09
S0035,P006,P006_06,2021/07/18
S0036,P006,P006_07,2019/04/19
S0037,P006,P006_08,2018/06/17
S0038,P007,P007_01,2023/12/21
S0039,P007,P007_02,2018/11/03
S0040,P007,P007_03,2021/05/02
S0041,P007,P007_04,2023/08/09
S0042,P007,P007_05,2023/04/13
S0043,P008,P008_01,2018/12/27
S0044,P008,P008_02,2020/02/15
S0045,P008,P008_03,2023/06/11
S0046,P008,P008_04,2022/01/28
S0047,P008,P008_05,2023/03/06
S0048,P008,P008_06,2021/06/14
S0049,P009,P009_01,2023/12/14
S0050,P009,P009_02,2018/06/18
S0051,P009,P009_03,2023/08/04
S0052,P009,P009_04,2024/02/20
S0053,P009,P009_05,2023/07/31
