student_id,module_id,past_module_id,grades_past,failed_module_id,grades_failed
S0001,P001_01,P044_02,51,,
S0002,P001_02,P032_02,42,P049_04,35
S0003,P001_03,P012_04,61,,
S0004,P001_04,P024_02,44,,
S0005,P001_05,P028_03,48,,
S0006,P002_01,P033_04,99,,
S0007,P002_02,P043_07,87,,
S0008,P002_03,P022_01,74,,
S0009,P002_04,P003_05,96,,
S0010,P002_05,P015_03,73,,
S0011,P003_01,P018_03,62,,
S0012,P003_02,P033_04,63,,
S0013,P003_03,P004_04,77,,
S0014,P003_04,P033_01,92,,
S0015,P003_05,P007_01,98,,
S0016,P004_01,P028_03,70,,
S0017,P004_02,P038_01,53,,
S0018,P004_03,P018_06,74,,
S0019,P004_04,P048_06,86,,
S0020,P004_05,P012_05,74,,
S0021,P004_06,P002_05,99,,
S0022,P004_07,P006_01,77,,
S0023,P005_01,P017_04,44,,
S0024,P005_02,P001_01,50,,
S0025,P005_03,P030_03,69,,
S0026,P005_04,P005_06,72,,
S0027,P005_05,P018_01,85,,
S0028,P005_06,P039_05,56,,
S0029,P005_07,P021_03,89,,
S0030,P006_01,P025_01,82,,
S0031,P006_02,P012_05,72,,
S0032,P006_03,P041_04,61,,
S0033,P006_04,P010_06,73,,
S0034,P006_05,P038_01,67,,
S0035,P006_06,P022_01,40,P046_04,39
S0036,P006_07,P012_03,61,,
S0037,P006_08,P010_01,55,,
S0038,P007_01,P005_06,91,,
S0039,P007_02,P026_03,40,P006_08,17
S0040,P007_03,P024_02,81,,
S0041,P007_04,P003_01,80,,
S0042,P007_05,P032_03,72,,
S0043,P008_01,P034_02,56,,
S0044,P008_02,P033_04,43,,
S0045,P008_03,P015_06,88,,
S0046,P008_04,P022_07,56,,
S0047,P008_05,P033_07,90,,
S0048,P008_06,P010_01,75,,
S0049,P009_01,P009_02,56,,
S0050,P009_02,P015_06,55,,
S0051,P009_03,P049_05,75,,
S0052,P009_04,P012_01,61,,
S0053,P009_05,P020_04,57,,
S0054,P009_06,P006_03,98,,
S0055,P009_07,P016_03,96,,
S0056,P010_01,P046_02,41,P002_02,22
S0057,P010_02,P007_03,70,,
S0058,P010_03,P024_05,43,,
S0059,P010_04,P041_08,64,,
S0060,P010_05,P022_07,73,,
S0061,P010_06,P025_05,42,P006_01,33
S0062,P010_07,P035_02,62,,
S0063,P010_08,P012_02,62,,
S0064,P011_01,P018_03,100,,
S0065,P011_02,P038_01,97,,
S0066,P011_03,P038_06,92,,
S0067,P011_04,P008_01,72,,
S0068,P011_05,P006_02,71,,
S0069,P011_06,P034_03,91,,
S0070,P011_07,P012_01,96,,
S0071,P012_01,P002_01,74,,
S0072,P012_02,P008_03,75,,
S0073,P012_03,P012_02,91,,
S0074,P012_04,P012_02,97,,
S0075,P012_05,P039_05,97,,
S0076,P012_06,P031_05,66,,
S0077,P012_07,P048_01,53,,
S0078,P013_01,P001_02,74,,
S0079,P013_02,P018_05,94,,
S0080,P013_03,P047_04,92,,
S0081,P013_04,P027_06,70,,
S0082,P013_05,P041_03,100,,
S0083,P013_06,P049_05,100,,
S0084,P013_07,P013_05,97,,
S0085,P014_01,P039_03,86,,
S0086,P014_02,P031_03,82,,
S0087,P014_03,P028_01,98,,
S0088,P014_04,P027_07,62,,
S0089,P014_05,P027_02,49,,
S0090,P014_06,P005_03,56,,
S0091,P015_01,P020_02,77,,
S0092,P015_02,P027_03,85,,
S0093,P015_03,P043_06,89,,
S0094,P015_04,P004_01,77,,
S0095,P015_05,P044_02,44,,
S0096,P015_06,P029_08,96,,
S0097,P016_01,P015_02,84,,
S0098,P016_02,P044_03,63,,
S0099,P016_03,P046_06,85,,
S0100,P016_04,P032_03,49,,
S0101,P016_05,P022_01,56,,
S0102,P016_06,P009_02,84,,
S0103,P017_01,P036_07,61,,
S0104,P017_02,P005_04,51,,
S0105,P017_03,P022_05,63,,
S0106,P017_04,P005_07,70,,
S0107,P017_05,P022_01,66,,
S0108,P017_06,P013_02,47,,
S0109,P018_01,P049_02,98,,
S0110,P018_02,P022_01,98,,
S0111,P018_03,P014_06,49,,
S0112,P018_04,P039_04,96,,
S0113,P018_05,P016_04,93,,
S0114,P018_06,P030_02,82,,
S0115,P018_07,P034_04,76,,
S0116,P018_08,P027_05,65,,
S0117,P019_01,P010_02,73,,
S0118,P019_02,P011_03,92,,
S0119,P019_03,P019_01,60,,
S0120,P019_04,P047_04,88,,
S0121,P019_05,P032_01,87,,
S0122,P020_01,P005_07,76,,
S0123,P020_02,P024_03,86,,
S0124,P020_03,P007_05,50,,
S0125,P020_04,P033_03,68,,
S0126,P020_05,P004_02,46,,
S0127,P021_01,P017_04,41,P041_05,12
S0128,P021_02,P042_02,98,,
S0129,P021_03,P032_07,70,,
S0130,P021_04,P027_01,89,,
S0131,P021_05,P034_03,52,,
S0132,P021_06,P001_03,45,,
S0133,P022_01,P038_01,71,,
S0134,P022_02,P036_01,90,,
S0135,P022_03,P025_01,80,,
S0136,P022_04,P006_04,55,,
S0137,P022_05,P042_06,96,,
S0138,P022_06,P036_05,41,P048_03,11
S0139,P022_07,P036_06,71,,
S0140,P022_08,P047_04,50,,
S0141,P023_01,P008_03,40,P049_06,16
S0142,P023_02,P023_01,81,,
S0143,P023_03,P001_01,45,,
S0144,P023_04,P001_04,55,,
S0145,P023_05,P001_02,85,,
S0146,P023_06,P001_02,63,,
S0147,P024_01,P036_07,82,,
S0148,P024_02,P017_05,87,,
S0149,P024_03,P036_01,92,,
S0150,P024_04,P025_03,46,,
S0151,P024_05,P010_01,50,,
S0152,P024_06,P012_02,51,,
S0153,P024_07,P021_02,50,,
S0154,P025_01,P008_02,85,,
S0155,P025_02,P029_07,69,,
S0156,P025_03,P043_05,79,,
S0157,P025_04,P034_04,67,,
S0158,P025_05,P039_01,90,,
S0159,P025_06,P036_08,50,,
S0160,P025_07,P027_08,93,,
S0161,P026_01,P014_03,67,,
S0162,P026_02,P027_08,70,,
S0163,P026_03,P031_04,98,,
S0164,P026_04,P013_05,48,,
S0165,P026_05,P011_02,45,,
S0166,P027_01,P025_02,50,,
S0167,P027_02,P027_01,62,,
S0168,P027_03,P027_07,95,,
S0169,P027_04,P036_01,80,,
S0170,P027_05,P014_01,67,,
S0171,P027_06,P032_02,92,,
S0172,P027_07,P005_06,50,,
S0173,P027_08,P028_07,90,,
S0174,P028_01,P021_02,42,P037_02,20
S0175,P028_02,P049_07,51,,
S0176,P028_03,P033_07,81,,
S0177,P028_04,P046_05,89,,
S0178,P028_05,P003_05,93,,
S0179,P028_06,P034_02,60,,
S0180,P028_07,P027_07,95,,
S0181,P029_01,P003_04,61,,
S0182,P029_02,P014_06,43,,
S0183,P029_03,P026_03,99,,
S0184,P029_04,P036_08,57,,
S0185,P029_05,P018_06,64,,
S0186,P029_06,P003_01,78,,
S0187,P029_07,P010_03,40,P048_06,13
S0188,P029_08,P029_01,92,,
S0189,P030_01,P045_03,47,,
S0190,P030_02,P041_06,60,,
S0191,P030_03,P019_03,92,,
S0192,P030_04,P040_03,80,,
S0193,P030_05,P011_04,82,,
S0194,P031_01,P041_06,91,,
S0195,P031_02,P043_05,48,,
S0196,P031_03,P014_04,79,,
S0197,P031_04,P034_01,54,,
S0198,P031_05,P024_07,68,,
S0199,P031_06,P047_07,90,,
S0200,P032_01,P002_01,74,,
S0201,P032_02,P015_02,65,,
S0202,P032_03,P011_02,85,,
S0203,P032_04,P036_01,86,,
S0204,P032_05,P005_05,55,,
S0205,P032_06,P014_02,98,,
S0206,P032_07,P008_04,66,,
S0207,P033_01,P045_04,60,,
S0208,P033_02,P007_02,85,,
S0209,P033_03,P014_04,40,P038_03,15
S0210,P033_04,P036_04,48,,
S0211,P033_05,P015_01,90,,
S0212,P033_06,P042_02,93,,
S0213,P033_07,P010_05,42,P004_06,29
S0214,P033_08,P043_07,51,,
S0215,P034_01,P049_05,97,,
S0216,P034_02,P002_02,55,,
S0217,P034_03,P039_03,62,,
S0218,P034_04,P044_03,98,,
S0219,P034_05,P022_04,51,,
S0220,P034_06,P041_01,89,,
S0221,P035_01,P006_01,90,,
S0222,P035_02,P048_06,97,,
S0223,P035_03,P012_02,47,,
S0224,P035_04,P029_02,97,,
S0225,P035_05,P038_06,45,,
S0226,P035_06,P042_03,53,,
S0227,P036_01,P021_05,82,,
S0228,P036_02,P007_01,64,,
S0229,P036_03,P033_07,46,,
S0230,P036_04,P021_06,45,,
S0231,P036_05,P006_05,48,,
S0232,P036_06,P004_05,80,,
S0233,P036_07,P041_02,53,,
S0234,P036_08,P039_02,43,,
